rest,nback,emotion
0.037126326,0.010281852,0.292568306
0.16509161,0.075855623,0.030928962
0.13587271,0.067299396,0.010710383
0.121215043,0.225194133,0.068415301
0.021022179,0.222389991,0.010491803
0.081195757,0.09728214,0.04
0.162777242,0.035734829,0.029289617
0.029315333,0.016033937,0.477923497
0.03731919,0.165084843,0.010928962
0.209064609,0.084843256,0.028743169
