condition,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
emotion,0.173333333,0,0,0.12,0.08,0,0.053333333,0.493333333,0.08,0
emotion,0.273333333,0,0,0.093333333,0.013333333,0,0.033333333,0.54,0.013333333,0.033333333
emotion,0.32,0.026666667,0,0.173333333,0,0.013333333,0.053333333,0.413333333,0,0
emotion,0.3,0.013333333,0,0,0,0,0,0.686666667,0,0
emotion,0.206666667,0.026666667,0,0.086666667,0.02,0,0,0.64,0.02,0
emotion,0.353333333,0,0,0.02,0,0.033333333,0,0.54,0.013333333,0.04
emotion,0.366666667,0,0.013333333,0.073333333,0.013333333,0.086666667,0.026666667,0.326666667,0.046666667,0.046666667
emotion,0.066666667,0,0.206666667,0.36,0,0.113333333,0.006666667,0.233333333,0.013333333,0
emotion,0.193333333,0.013333333,0,0,0,0,0.086666667,0.706666667,0,0
emotion,0.2,0,0.02,0.126666667,0,0.066666667,0,0.586666667,0,0
emotion,0.246666667,0.04,0,0.146666667,0.046666667,0.126666667,0,0.373333333,0,0.02
emotion,0.2,0,0,0,0,0,0,0.8,0,0
emotion,0.2,0.006666667,0,0.06,0,0.053333333,0,0.586666667,0.053333333,0.04
emotion,0.26,0.066666667,0,0.1,0.026666667,0.06,0.04,0.373333333,0,0.073333333
emotion,0.253333333,0.086666667,0,0.026666667,0,0.046666667,0.026666667,0.5,0,0.06
emotion,0.333333333,0.04,0,0.04,0,0,0.02,0.5,0.046666667,0.02
emotion,0.346666667,0.08,0,0.066666667,0,0.066666667,0.06,0.38,0,0
emotion,0.233333333,0.073333333,0,0.293333333,0,0.02,0.013333333,0.346666667,0,0.02
emotion,0.28,0.033333333,0,0,0,0,0,0.686666667,0,0
emotion,0.366666667,0,0,0.093333333,0,0.053333333,0,0.486666667,0,0
emotion,0.346666667,0.04,0,0.02,0,0.026666667,0.013333333,0.46,0.013333333,0.08
emotion,0.38,0,0,0,0,0,0,0.62,0,0
emotion,0.22,0.013333333,0.02,0.173333333,0.033333333,0,0.18,0.286666667,0.006666667,0.066666667
emotion,0.293333333,0,0,0.12,0,0.04,0,0.526666667,0.02,0
emotion,0.44,0,0,0.04,0,0.026666667,0,0.493333333,0,0
emotion,0.22,0.046666667,0.053333333,0.12,0.013333333,0.12,0,0.393333333,0.013333333,0.02
emotion,0.22,0.06,0.04,0.173333333,0.06,0.12,0,0.326666667,0,0
emotion,0.233333333,0.026666667,0,0.173333333,0.046666667,0,0,0.506666667,0,0.013333333
emotion,0.293333333,0,0.06,0.04,0,0.033333333,0,0.52,0.026666667,0.026666667
emotion,0.206666667,0,0,0.026666667,0,0,0,0.766666667,0,0
emotion,0.293333333,0.02,0,0.14,0,0.046666667,0.02,0.466666667,0,0.013333333
emotion,0.4,0,0,0.06,0,0.033333333,0.033333333,0.473333333,0,0
emotion,0.266666667,0.026666667,0,0.1,0,0,0.06,0.446666667,0,0.1
emotion,0.286666667,0.1,0,0.04,0,0.026666667,0.02,0.5,0,0.026666667
emotion,0.193333333,0.02,0.086666667,0.213333333,0.026666667,0.266666667,0.006666667,0.153333333,0,0.033333333
emotion,0.173333333,0.1,0.033333333,0.106666667,0.086666667,0.033333333,0.073333333,0.266666667,0.066666667,0.06
emotion,0.22,0.04,0,0,0,0,0,0.64,0,0.1
emotion,0.313333333,0.02,0,0,0.04,0.12,0.04,0.386666667,0.033333333,0.046666667
emotion,0.34,0,0.013333333,0.073333333,0,0,0.033333333,0.493333333,0,0.046666667
emotion,0.42,0.053333333,0,0,0,0.046666667,0.033333333,0.4,0,0.046666667
emotion,0.373333333,0.026666667,0,0,0,0,0,0.6,0,0
emotion,0.286666667,0.066666667,0,0.04,0,0.033333333,0.013333333,0.56,0,0
emotion,0.34,0.066666667,0.033333333,0,0.013333333,0.026666667,0.04,0.446666667,0,0.033333333
emotion,0.38,0.013333333,0,0.04,0,0.046666667,0,0.52,0,0
emotion,0.273333333,0.093333333,0,0.106666667,0,0.046666667,0,0.433333333,0,0.046666667
emotion,0.32,0.066666667,0,0.06,0,0,0.033333333,0.48,0,0.04
emotion,0.413333333,0.026666667,0,0,0,0.086666667,0,0.46,0,0.013333333
nback,0.021929825,0.109649123,0.026315789,0.074561404,0.135964912,0.065789474,0.23245614,0,0.135964912,0.197368421
nback,0,0.210526316,0.096491228,0.004385965,0.092105263,0.096491228,0.149122807,0,0.223684211,0.127192982
nback,0,0.057017544,0.035087719,0.109649123,0.293859649,0.013157895,0.01754386,0.026315789,0.342105263,0.105263158
nback,0.030701754,0.057017544,0,0.135964912,0.311403509,0.074561404,0.057017544,0,0.276315789,0.057017544
nback,0.021929825,0.074561404,0.333333333,0.092105263,0,0.23245614,0.057017544,0,0.078947368,0.109649123
nback,0.01754386,0.078947368,0,0.109649123,0.368421053,0.004385965,0.039473684,0,0.285087719,0.096491228
nback,0.013157895,0.096491228,0.061403509,0.324561404,0.039473684,0.175438596,0.078947368,0,0.01754386,0.192982456
nback,0,0,0.035087719,0.495614035,0.122807018,0.153508772,0,0.052631579,0.070175439,0.070175439
nback,0.013157895,0.131578947,0,0.236842105,0.307017544,0.074561404,0.039473684,0.030701754,0.144736842,0.021929825
nback,0.035087719,0.01754386,0.127192982,0.530701754,0.122807018,0.087719298,0,0.026315789,0.00877193,0.043859649
nback,0.01754386,0.105263158,0,0.25,0.254385965,0.039473684,0.061403509,0.00877193,0.192982456,0.070175439
nback,0,0.039473684,0.065789474,0.219298246,0.23245614,0.210526316,0.021929825,0,0.131578947,0.078947368
nback,0,0.157894737,0.127192982,0.070175439,0.061403509,0.24122807,0.00877193,0,0.228070175,0.105263158
nback,0.00877193,0.078947368,0.074561404,0.223684211,0.236842105,0.087719298,0,0.061403509,0.162280702,0.065789474
nback,0.114035088,0,0,0.245614035,0.236842105,0.035087719,0,0.311403509,0.057017544,0
nback,0,0.021929825,0,0.377192982,0.377192982,0.013157895,0.026315789,0,0.149122807,0.035087719
nback,0.048245614,0.157894737,0.00877193,0.109649123,0.263157895,0.039473684,0.083333333,0,0.223684211,0.065789474
nback,0,0.01754386,0.105263158,0.293859649,0.188596491,0.197368421,0,0.026315789,0.127192982,0.043859649
nback,0,0.057017544,0,0.394736842,0.311403509,0.013157895,0.021929825,0,0.171052632,0.030701754
nback,0.013157895,0.074561404,0.013157895,0.052631579,0.289473684,0.122807018,0.013157895,0.030701754,0.26754386,0.122807018
nback,0,0,0.114035088,0.122807018,0.192982456,0.245614035,0.030701754,0,0.23245614,0.061403509
nback,0,0.00877193,0.614035088,0.149122807,0.105263158,0.061403509,0.00877193,0.026315789,0.026315789,0
nback,0.013157895,0.043859649,0,0.171052632,0.298245614,0.021929825,0.048245614,0.048245614,0.320175439,0.035087719
nback,0,0.030701754,0.057017544,0.614035088,0.171052632,0.096491228,0,0,0.01754386,0.013157895
nback,0,0.061403509,0.004385965,0.407894737,0.236842105,0.087719298,0,0,0.127192982,0.074561404
nback,0,0.057017544,0.013157895,0.149122807,0.271929825,0.030701754,0,0.039473684,0.271929825,0.166666667
nback,0,0.118421053,0,0.285087719,0.298245614,0.039473684,0.021929825,0,0.210526316,0.026315789
nback,0,0.039473684,0.302631579,0.23245614,0.092105263,0.162280702,0.021929825,0,0.074561404,0.074561404
nback,0,0.070175439,0.00877193,0.131578947,0.214912281,0.135964912,0.057017544,0,0.206140351,0.175438596
nback,0.021929825,0.131578947,0,0.192982456,0.311403509,0.070175439,0.043859649,0.00877193,0.105263158,0.114035088
nback,0,0.122807018,0.065789474,0.100877193,0.157894737,0.289473684,0.013157895,0,0.192982456,0.057017544
nback,0.013157895,0.039473684,0.135964912,0.447368421,0.157894737,0.105263158,0,0.01754386,0.083333333,0
nback,0,0.070175439,0,0.175438596,0.342105263,0,0.00877193,0.030701754,0.302631579,0.070175439
nback,0,0.061403509,0.127192982,0.285087719,0.114035088,0.184210526,0.030701754,0,0.074561404,0.122807018
nback,0,0.087719298,0.021929825,0.021929825,0.206140351,0.039473684,0.078947368,0,0.293859649,0.25
nback,0,0.026315789,0.00877193,0.355263158,0.359649123,0.078947368,0,0,0.162280702,0.00877193
nback,0,0.144736842,0,0.065789474,0.201754386,0.092105263,0.100877193,0,0.210526316,0.184210526
nback,0,0,0.065789474,0.447368421,0.171052632,0.096491228,0,0,0.157894737,0.061403509
nback,0.01754386,0.135964912,0.01754386,0.078947368,0.276315789,0.035087719,0.127192982,0,0.23245614,0.078947368
nback,0.013157895,0.087719298,0,0.394736842,0.214912281,0.140350877,0.01754386,0,0.052631579,0.078947368
nback,0,0,0.407894737,0.311403509,0.030701754,0.228070175,0,0,0.021929825,0
nback,0,0.048245614,0.096491228,0.315789474,0.192982456,0.166666667,0.00877193,0.035087719,0.109649123,0.026315789
nback,0,0.048245614,0.013157895,0.162280702,0.337719298,0.087719298,0.021929825,0,0.188596491,0.140350877
nback,0.00877193,0.00877193,0.00877193,0.644736842,0.157894737,0.074561404,0,0.030701754,0.035087719,0.030701754
nback,0,0.149122807,0,0.214912281,0.328947368,0.035087719,0.021929825,0,0.131578947,0.118421053
nback,0.021929825,0.030701754,0.030701754,0.346491228,0.298245614,0.013157895,0.00877193,0.035087719,0.184210526,0.030701754
nback,0,0.184210526,0.074561404,0.144736842,0.25,0.100877193,0.039473684,0,0.197368421,0.00877193
nback,0.013157895,0.092105263,0.078947368,0.109649123,0.201754386,0.100877193,0.065789474,0.052631579,0.149122807,0.135964912
nback,0.048245614,0.114035088,0.149122807,0.131578947,0.140350877,0.100877193,0.087719298,0,0.092105263,0.135964912
nback,0,0.140350877,0.01754386,0.135964912,0.263157895,0.01754386,0.157894737,0,0.118421053,0.149122807
nback,0.004385965,0.065789474,0,0.434210526,0.23245614,0.105263158,0.01754386,0,0.065789474,0.074561404
nback,0,0.092105263,0.188596491,0.135964912,0.171052632,0.135964912,0.00877193,0,0.175438596,0.092105263
nback,0,0.092105263,0,0.135964912,0.359649123,0.061403509,0,0,0.263157895,0.087719298
nback,0,0.083333333,0.061403509,0.324561404,0.144736842,0.144736842,0.021929825,0,0.061403509,0.157894737
nback,0,0.057017544,0,0.109649123,0.315789474,0.057017544,0.052631579,0,0.280701754,0.127192982
nback,0.013157895,0.109649123,0.01754386,0.206140351,0.26754386,0.01754386,0,0.013157895,0.342105263,0.013157895
nback,0,0.048245614,0,0.083333333,0.324561404,0.048245614,0.039473684,0,0.355263158,0.100877193
nback,0.043859649,0.135964912,0.026315789,0.109649123,0.289473684,0.074561404,0.026315789,0,0.153508772,0.140350877
nback,0.01754386,0.096491228,0.149122807,0.254385965,0.061403509,0.201754386,0.01754386,0.057017544,0.118421053,0.026315789
nback,0.021929825,0.039473684,0.048245614,0.175438596,0.346491228,0.092105263,0,0.00877193,0.188596491,0.078947368
nback,0,0.109649123,0.070175439,0.070175439,0.210526316,0.078947368,0.065789474,0,0.188596491,0.206140351
